State,County,Male
Alabama,Autauga County,48.7
Alabama,Blount County,49.5
Alabama,Chambers County,47.8
Alabama,Chilton County,49.5
Alabama,Colbert County,48.1
Alabama,Dale County,49.4
Alabama,Elmore County,48.8
Alabama,Hale County,47.4
Alabama,Lawrence County,48.9
Alabama,Limestone County,50.6
Alabama,Monroe County,48.2
Alabama,Pickens County,47.7
Alabama,Talladega County,48.7
Alaska,Bethel Census Area,52.3
Alaska,Hoonah-Angoon Census Area,54.2
Alaska,Kenai Peninsula Borough,52.4
Alaska,Kodiak Island Borough,53
Alaska,Lake and Peninsula Borough,52.7
Alaska,Nome Census Area,53.3
Alaska,Northwest Arctic Borough,53.6
Alaska,Prince of Wales-Hyder Census Area,55.2
Arkansas,Van Buren County,49.9
Arkansas,White County,49
California,Amador County,54.5
California,Glenn County,50.5
California,Lake County,50.2
California,Mariposa County,50.8
California,Napa County,49.9
California,Shasta County,49.2
California,Stanislaus County,49.5
California,Yuba County,50.4
Colorado,Alamosa County,50.1
Colorado,Boulder County,50.2
Colorado,Broomfield County,49.6
Colorado,Crowley County,72.1
Colorado,Denver County,50
Colorado,Douglas County,49.5
Colorado,Gilpin County,53
Colorado,Gunnison County,54.2
Colorado,Huerfano County,49.6
Colorado,Las Animas County,51.3
Colorado,Montrose County,49.2
Colorado,Phillips County,48.9
Colorado,Pueblo County,49.2
Colorado,San Juan County,56.1
Colorado,Weld County,50
Connecticut,Windham County,49.6
Florida,Alachua County,48.4
Florida,Columbia County,51.8
Florida,Flagler County,48.1
Florida,Highlands County,48.9
Florida,Holmes County,53.2
Florida,Lafayette County,61.8
Florida,Liberty County,60.9
Florida,Marion County,48
Florida,Monroe County,53.3
Florida,Okeechobee County,53.6
Florida,Putnam County,49.6
Florida,Suwannee County,50.4
Georgia,Atkinson County,50.6
Georgia,Baker County,48.5
Georgia,Barrow County,49.3
Georgia,Bleckley County,47.6
Georgia,Butts County,52.9
Georgia,Candler County,49.4
Georgia,Chattooga County,51.9
Georgia,Clarke County,47.5
Georgia,Colquitt County,49.6
Georgia,Cook County,48.6
Georgia,Decatur County,48.9
Georgia,Emanuel County,48.8
Georgia,Fayette County,48.3
Georgia,Gilmer County,50
Alaska,Valdez-Cordova Census Area,53.4
Alaska,Wade Hampton Census Area,52.9
Arizona,Cochise County,51
Arizona,Maricopa County,49.5
Arkansas,Arkansas County,48.5
Arkansas,Boone County,49
Arkansas,Clark County,47.7
Arkansas,Conway County,49.5
Arkansas,Drew County,48.5
Arkansas,Garland County,48.5
Arkansas,Howard County,48.3
Arkansas,Johnson County,49.6
Arkansas,Lonoke County,49.2
Arkansas,Montgomery County,49.9
Arkansas,Newton County,50.5
Arkansas,Poinsett County,48.6
Arkansas,St. Francis County,54.5
Arkansas,Searcy County,49.8
Georgia,Wheeler County,61.7
Georgia,Whitfield County,49.8
Georgia,Wilkinson County,47.9
Hawaii,Maui County,50.1
Idaho,Boise County,52.2
Idaho,Boundary County,50.6
Idaho,Gem County,49.5
Idaho,Jefferson County,50.2
Idaho,Latah County,51.5
Idaho,Minidoka County,50.6
Idaho,Teton County,52.3
Illinois,Bond County,52.3
Illinois,Brown County,64.1
Illinois,Champaign County,49.9
Illinois,Coles County,48.2
Illinois,Cumberland County,49.9
Illinois,Effingham County,49.7
Illinois,Franklin County,48.9
Illinois,Hamilton County,48.8
Illinois,Henderson County,49.3
Illinois,Iroquois County,48.9
Illinois,Johnson County,55.8
Illinois,Knox County,50.2
Illinois,Livingston County,50.1
Illinois,Marion County,48.6
Illinois,Menard County,48.7
Illinois,Moultrie County,48.6
Illinois,Perry County,54.2
Illinois,Putnam County,50.5
Illinois,Schuyler County,52.1
Illinois,Stark County,48.8
Illinois,Tazewell County,49.3
Illinois,Wayne County,49.3
Illinois,Woodford County,49.4
Indiana,Benton County,49.5
Indiana,Cass County,50
Indiana,Daviess County,49.8
Indiana,Dubois County,49.2
Indiana,Franklin County,50
Indiana,Hamilton County,48.8
Indiana,Howard County,48.1
Indiana,Jennings County,50.1
Indiana,Kosciusko County,49.7
Indiana,Madison County,50
Indiana,Martin County,50.5
Indiana,Noble County,50
Indiana,Ohio County,49.5
Indiana,Pulaski County,50.5
Indiana,Ripley County,49.3
Indiana,Starke County,49.4
Indiana,Tipton County,49.2
Indiana,Warrick County,49.3
Indiana,Wells County,49.2
Indiana,Whitley County,49.7
Iowa,Benton County,50
Iowa,Bremer County,48.9
Iowa,Calhoun County,48.6
Iowa,Cherokee County,49.3
Iowa,Clarke County,49.8
Georgia,Glascock County,48.2
Georgia,Gordon County,49.4
Georgia,Grady County,48.4
Georgia,Hall County,49.9
Georgia,Jackson County,49.6
Georgia,Jones County,48.4
Georgia,Laurens County,47.6
Georgia,Lumpkin County,49.7
Georgia,Marion County,49.2
Georgia,Miller County,47.8
Georgia,Newton County,47.6
Georgia,Peach County,48.4
Georgia,Polk County,49.5
Georgia,Randolph County,46
Georgia,Seminole County,47.4
Georgia,Taliaferro County,49
Georgia,Tift County,47.9
Georgia,Troup County,48.1
Georgia,Upson County,48
Georgia,Washington County,51
Kansas,Clay County,49.5
Kansas,Cloud County,48.9
Kansas,Decatur County,50.1
Kansas,Elk County,49.5
Kansas,Graham County,48.9
Kansas,Hamilton County,50.7
Kansas,Jackson County,50.1
Kansas,Kingman County,49.6
Kansas,Lincoln County,49.9
Kansas,Marion County,50.3
Kansas,Morris County,49.9
Kansas,Ness County,50.2
Kansas,Pawnee County,55.5
Kansas,Reno County,50.1
Kansas,Rooks County,48.9
Kansas,Sedgwick County,49.4
Kansas,Stafford County,49.8
Kansas,Trego County,49.4
Kansas,Wichita County,51.2
Kansas,Wilson County,49.1
Kentucky,Adair County,49.4
Kentucky,Allen County,49.1
Kentucky,Bell County,48.6
Kentucky,Breathitt County,50
Kentucky,Butler County,50.1
Kentucky,Carter County,49.8
Kentucky,Edmonson County,49.9
Kentucky,Estill County,49.3
Kentucky,Gallatin County,50.2
Kentucky,Grant County,49.9
Kentucky,Hart County,49.5
Kentucky,Hopkins County,48.6
Kentucky,Kenton County,49.4
Kentucky,Lee County,54.8
Kentucky,Logan County,48.9
Kentucky,Madison County,48.6
Kentucky,Metcalfe County,49.6
Kentucky,Montgomery County,48.8
Kentucky,Nelson County,49.2
Kentucky,Ohio County,50
Kentucky,Owen County,49.7
Kentucky,Powell County,49.7
Kentucky,Rockcastle County,49.1
Kentucky,Trigg County,49.1
Kentucky,Webster County,49.7
Louisiana,Allen Parish,56.2
Louisiana,Bienville Parish,48.2
Louisiana,Claiborne Parish,55.9
Louisiana,Iberville Parish,51
Louisiana,Lafayette Parish,48.8
Louisiana,Livingston Parish,49.5
Louisiana,Pointe Coupee Parish,48.5
Louisiana,St. Charles Parish,49.4
