State,County,Percent in Poverty
1,Autauga County (AL),11.9
1,Baldwin County (AL),13.3
1,Barbour County (AL),25.3
1,Bibb County (AL),20.9
1,Blount County (AL),16.5
1,Bullock County (AL),31.1
1,Butler County (AL),28.1
1,Calhoun County (AL),23.5
1,Chambers County (AL),28.5
1,Cherokee County (AL),21.2
1,Chilton County (AL),20.4
1,Choctaw County (AL),20.7
1,Clarke County (AL),24.9
1,Clay County (AL),20.6
1,Cleburne County (AL),17.8
1,Coffee County (AL),20.1
1,Colbert County (AL),19.2
1,Conecuh County (AL),25.7
1,Coosa County (AL),18.6
1,Covington County (AL),20.9
1,Crenshaw County (AL),20.3
1,Cullman County (AL),19.2
1,Dale County (AL),17.8
1,Dallas County (AL),35.6
1,DeKalb County (AL),20.8
1,Elmore County (AL),12.5
1,Escambia County (AL),26.1
1,Etowah County (AL),19
1,Fayette County (AL),27.3
1,Franklin County (AL),21.6
1,Geneva County (AL),20.3
1,Greene County (AL),31
1,Hale County (AL),24.8
1,Henry County (AL),18.1
1,Houston County (AL),17.9
1,Jackson County (AL),19.9
1,Jefferson County (AL),18.6
1,Lamar County (AL),21.5
1,Lauderdale County (AL),17.6
1,Lawrence County (AL),18.1
1,Lee County (AL),21.3
1,Limestone County (AL),14.1
1,Lowndes County (AL),30.7
1,Macon County (AL),31.2
1,Madison County (AL),12.7
1,Marengo County (AL),23.6
1,Marion County (AL),20.9
1,Marshall County (AL),19.4
1,Mobile County (AL),20.5
1,Monroe County (AL),28.4
1,Montgomery County (AL),21.3
1,Morgan County (AL),14.1
1,Perry County (AL),39.5
1,Pickens County (AL),24.4
1,Pike County (AL),30
1,Randolph County (AL),24.8
1,Russell County (AL),24.1
1,St. Clair County (AL),13
1,Shelby County (AL),9.8
1,Sumter County (AL),31.3
1,Talladega County (AL),22.7
1,Tallapoosa County (AL),18.3
1,Tuscaloosa County (AL),18
1,Walker County (AL),23.2
1,Washington County (AL),19.6
1,Wilcox County (AL),39.6
1,Winston County (AL),20.3
2,Aleutians East Borough (AK),16.8
2,Aleutians West Census Area (AK),9
2,Anchorage Borough (AK),9.6
2,Bethel Census Area (AK),22.6
2,Bristol Bay Borough (AK),8.8
2,Denali Borough (AK),5.6
2,Dillingham Census Area (AK),20.6
2,Fairbanks North Star Borough (AK),9.4
2,Haines Borough (AK),12.1
2,Hoonah-Angoon Census Area (AK),19.4
2,Juneau Borough (AK),8.2
2,Kenai Peninsula Borough (AK),10.7
2,Ketchikan Gateway Borough (AK),10
2,Kodiak Island Borough (AK),8.3
2,Lake and Peninsula Borough (AK),17.7
2,Matanuska-Susitna Borough (AK),10.9
2,Nome Census Area (AK),24.6
2,North Slope Borough (AK),11.4
2,Northwest Arctic Borough (AK),20
2,Petersburg Census Area (AK),10.6
2,Prince of Wales-Hyder Census Area (AK),17.2
2,Sitka Borough (AK),9.1
2,Skagway Municipality (AK),4.2
2,Southeast Fairbanks Census Area (AK),13.4
2,Valdez-Cordova Census Area (AK),9
2,Wade Hampton Census Area (AK),34.1
2,Wrangell City and Borough (AK),13.1
2,Yakutat Borough (AK),14.7
2,Yukon-Koyukuk Census Area (AK),27.1
4,Apache County (AZ),34.5
4,Cochise County (AZ),17.7
4,Coconino County (AZ),23.8
4,Gila County (AZ),19.8
4,Graham County (AZ),21.6
4,Greenlee County (AZ),12.7
4,La Paz County (AZ),23.7
4,Maricopa County (AZ),16.6
4,Mohave County (AZ),18.7
4,Navajo County (AZ),27.8
4,Pima County (AZ),17.8
4,Pinal County (AZ),14.4
4,Santa Cruz County (AZ),28
4,Yavapai County (AZ),18.3
4,Yuma County (AZ),21.1
5,Arkansas County (AR),18.6
5,Ashley County (AR),19.4
5,Baxter County (AR),15.7
5,Benton County (AR),10.2
5,Boone County (AR),16
5,Bradley County (AR),28.5
5,Calhoun County (AR),15.6
5,Carroll County (AR),16.4
5,Chicot County (AR),30.7
5,Clark County (AR),22.2
5,Clay County (AR),18.3
5,Cleburne County (AR),18.6
5,Cleveland County (AR),15.5
5,Columbia County (AR),25.6
5,Conway County (AR),18.2
5,Craighead County (AR),21.1
5,Crawford County (AR),15.8
5,Crittenden County (AR),30.3
5,Cross County (AR),19.6
5,Dallas County (AR),19.4
5,Desha County (AR),28
5,Drew County (AR),20.9
5,Faulkner County (AR),14.8
5,Franklin County (AR),17.2
5,Fulton County (AR),18.9
5,Garland County (AR),21.7
5,Grant County (AR),11.9
5,Greene County (AR),17
5,Hempstead County (AR),21.8
5,Hot Spring County (AR),15.3
5,Howard County (AR),21
5,Independence County (AR),18.2
5,Izard County (AR),18.6
5,Jackson County (AR),25.8
5,Jefferson County (AR),22.7
5,Johnson County (AR),21.9
5,Lafayette County (AR),23.2
5,Lawrence County (AR),22.4
5,Lee County (AR),37.5
5,Lincoln County (AR),28.5
5,Little River County (AR),17.8
5,Logan County (AR),17.1
5,Lonoke County (AR),12.4
5,Madison County (AR),19.3
5,Marion County (AR),19.5
5,Miller County (AR),20.1
5,Mississippi County (AR),25
5,Monroe County (AR),26.6
5,Montgomery County (AR),22.2
5,Nevada County (AR),25.2
5,Newton County (AR),23.3
5,Ouachita County (AR),20.3
5,Perry County (AR),16.8
5,Phillips County (AR),36
5,Pike County (AR),21.2
5,Poinsett County (AR),27.1
5,Polk County (AR),22.8
5,Pope County (AR),17.7
5,Prairie County (AR),18.3
5,Pulaski County (AR),17.1
