State,County,White,Black,Hispanic,Asian,Native.American.Alaska.Native
Alabama,Autauga County,78.5,17.7,2.4,0.9,0.4
Alabama,Blount County,92.6,1.3,8.1,0.2,0.5
Alabama,Chambers County,58.8,38.7,1.6,0.5,0.2
Alabama,Chilton County,84.1,9.7,7.8,0.3,0.4
Alabama,Colbert County,80.5,16.1,2,0.4,0.5
Alabama,Dale County,74.1,19.3,5.6,1.1,0.7
Alabama,Elmore County,76.2,20,2.7,0.7,0.4
Alabama,Hale County,39.8,59,0.9,0.2,0.2
Alabama,Lawrence County,77.6,11.5,1.7,0.1,5.7
Alabama,Limestone County,80.3,12.6,5.5,1.1,0.7
Alabama,Monroe County,55.1,41.7,1,0.3,1.1
Alabama,Pickens County,56.3,41.6,1.6,0.2,0.1
Alabama,Talladega County,65.3,31.7,2,0.4,0.3
Alaska,Bethel Census Area,11.1,0.4,1.1,0.9,82.9
Alaska,Hoonah-Angoon Census Area,47.2,0.4,3.6,0.6,41.4
Alaska,Kenai Peninsula Borough,84.6,0.5,3,1.1,7.4
Alaska,Kodiak Island Borough,55.3,0.7,7.3,19.6,13.2
Alaska,Lake and Peninsula Borough,23.3,0.6,2.6,0.4,65.1
Alaska,Nome Census Area,16.4,0.3,1.2,1,75.8
Alaska,Northwest Arctic Borough,11.2,0.5,0.8,0.6,81.4
Alaska,Prince of Wales-Hyder Census Area,50.4,0.3,2.3,0.4,39.7
Arkansas,Van Buren County,96,0.4,2.7,0.3,0.7
Arkansas,White County,91.4,4,3.7,0.5,0.6
California,Amador County,87,2.5,12.5,1.1,1.8
California,Glenn County,71.1,0.8,37.5,2.6,2.2
California,Lake County,80.5,1.9,17.1,1.1,3.2
California,Mariposa County,88.2,0.8,9.2,1.1,2.9
California,Napa County,71.5,2,32.2,6.8,0.8
California,Shasta County,86.7,0.9,8.4,2.5,2.8
California,Stanislaus County,65.6,2.9,41.9,5.1,1.1
California,Yuba County,68.4,3.3,25,6.7,2.3
Colorado,Alamosa County,74.8,1.1,46,1,2.8
Colorado,Boulder County,87.2,0.9,13.3,4.1,0.6
Colorado,Broomfield County,86.1,1.1,11.1,6.1,0.6
Colorado,Crowley County,77.4,9.6,29,1,2.4
Colorado,Denver County,68.9,10.2,31.8,3.4,1.4
Colorado,Douglas County,90.2,1.2,7.5,3.8,0.4
Colorado,Gilpin County,94.8,0.5,4.9,1.4,0.8
Colorado,Gunnison County,92.4,0.3,8.2,0.7,1.4
Colorado,Huerfano County,82.8,0.5,35.3,0.4,3.2
Colorado,Las Animas County,83.6,1.4,41.6,0.7,2.4
Colorado,Montrose County,86.7,0.4,19.7,0.6,1.1
Colorado,Phillips County,89.2,0.4,18.7,0.6,0.5
Colorado,Pueblo County,79.4,2,41.4,0.8,1.9
Colorado,San Juan County,92.6,0,12,1.1,0.3
Colorado,Weld County,82.9,1,28.4,1.2,1.1
Connecticut,Windham County,89.6,2.2,9.6,1.2,0.5
Florida,Alachua County,69.6,20.3,8.4,5.4,0.3
Florida,Columbia County,77.9,17.5,4.9,0.9,0.5
Florida,Flagler County,82.3,11.4,8.6,2.1,0.3
Florida,Highlands County,81,9.4,17.4,1.5,0.5
Florida,Holmes County,90.5,5.8,2.2,0.4,0.8
Florida,Lafayette County,77.4,15.9,12.1,0.1,0.4
Florida,Liberty County,77.3,17.9,6.2,0.2,1.1
Florida,Marion County,81,12.3,10.9,1.3,0.4
Florida,Monroe County,89.5,5.7,20.6,1.1,0.4
Florida,Okeechobee County,77.5,8,23.9,0.9,1
Florida,Putnam County,77.3,16.2,9,0.6,0.5
Florida,Suwannee County,82.5,11.4,8.7,0.5,0.5
Georgia,Atkinson County,62.2,17.3,24.3,0.3,0.6
Georgia,Baker County,48.5,46.7,4.2,0.7,0.3
Georgia,Barrow County,78.8,11.4,8.7,3.4,0.3
